Robert_Williams: [('s=1', 'a=0'), ('s=1', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Linda_Garcia: [('s=0', 'a=0'), ('s=4', 'a=2'), ('s=4', 'a=2'), ('s=4', 'a=2'), ('s=4', 'a=2'), ('s=4', 'a=2'), ('s=4', 'a=1'), ('s=4', 'a=1'), ('s=4', 'a=0'), ('s=4', 'a=0')]
Mary_Johnson: [('s=1', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=1', 'a=0'), ('s=1', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=0'), ('s=2', 'a=1'), ('s=2', 'a=1')]
Michael_Jones: [('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=2'), ('s=1', 'a=1'), ('s=1', 'a=1'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=2')]
Barbara_Davis: [('s=0', 'a=1'), ('s=1', 'a=2'), ('s=2', 'a=1'), ('s=0', 'a=2'), ('s=2', 'a=2'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0'), ('s=2', 'a=0')]
John_Smith: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Patricia_Brown: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
William_Miller: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
James_Rodriguez: [('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
Elizabeth_Martinez: [('s=1', 'a=1'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2'), ('s=0', 'a=2')]
